📺中央频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$黑龙江移动
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$黑龙江移动
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$黑龙江移动
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$黑龙江移动
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8$黑龙江移动
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$黑龙江移动
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8$黑龙江移动
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$黑龙江移动
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$黑龙江移动
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$黑龙江移动
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$黑龙江移动
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8$黑龙江移动
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$黑龙江移动
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8$黑龙江移动
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8$黑龙江移动
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$黑龙江移动
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8$黑龙江移动
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8$黑龙江移动
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8$黑龙江移动
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$黑龙江移动
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8$黑龙江移动
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$黑龙江移动
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$黑龙江移动
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$黑龙江移动
CETV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8$黑龙江移动
CETV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8$黑龙江移动
CETV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8$黑龙江移动
CCTV1,http://go.bkpcp.top/mg/cctv1$咪咕
CCTV2,http://go.bkpcp.top/mg/cctv2$咪咕
CCTV3,http://go.bkpcp.top/mg/cctv3$咪咕
CCTV4,http://go.bkpcp.top/mg/cctv4$咪咕
CCTV5,http://go.bkpcp.top/mg/cctv5$咪咕
CCTV5+,http://go.bkpcp.top/mg/cctv5p$咪咕
CCTV6,http://go.bkpcp.top/mg/cctv6$咪咕
CCTV7,http://go.bkpcp.top/mg/cctv7$咪咕
CCTV8,http://go.bkpcp.top/mg/cctv8$咪咕
CCTV9,http://go.bkpcp.top/mg/cctv9$咪咕
CCTV10,http://go.bkpcp.top/mg/cctv10$咪咕
CCTV11,http://go.bkpcp.top/mg/cctv11$咪咕
CCTV12,http://go.bkpcp.top/mg/cctv12$咪咕
CCTV13,http://go.bkpcp.top/mg/cctv13$咪咕
CCTV14,http://go.bkpcp.top/mg/cctv14$咪咕
CCTV15,http://go.bkpcp.top/mg/cctv15$咪咕
CCTV17,http://go.bkpcp.top/mg/cctv17$咪咕
CCTV4美洲,http://go.bkpcp.top/mg/cctv4m$咪咕
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o$咪咕
CETV1,http://go.bkpcp.top/mg/cetv1$咪咕
CETV2,http://go.bkpcp.top/mg/cetv2$咪咕
CETV4,http://go.bkpcp.top/mg/cetv4$咪咕
CGTN,http://go.bkpcp.top/mg/cgtn$咪咕
CGTN纪录,http://go.bkpcp.top/mg/cgtnjl$咪咕
CGTN西语,http://go.bkpcp.top/mg/cgtne$咪咕
CGTN法语,http://go.bkpcp.top/mg/cgtnf$咪咕
CGTN阿语,http://go.bkpcp.top/mg/cgtna$咪咕
CGTN俄语,http://go.bkpcp.top/mg/cgtnr$咪咕

CCTV1,http://39.134.65.145/PLTV/88888888/224/3221225816/1.m3u8$鹤岗
CCTV2,http://39.134.65.145/PLTV/88888888/224/3221226540/1.m3u8$鹤岗
CCTV3,http://39.134.65.145/PLTV/88888888/224/3221225799/1.m3u8$鹤岗
CCTV4,http://39.134.65.145/PLTV/88888888/224/3221225797/1.m3u8$鹤岗
CCTV5,http://39.134.65.145/PLTV/88888888/224/3221225818/1.m3u8$鹤岗
CCTV5+,http://39.134.65.145/PLTV/88888888/224/3221225507/1.m3u8$鹤岗
CCTV6,http://39.134.65.145/PLTV/88888888/224/3221225814/1.m3u8$鹤岗
CCTV7,http://39.134.65.145/PLTV/88888888/224/3221226031/1.m3u8$鹤岗
CCTV7,http://39.134.65.145/PLTV/88888888/224/3221225671/1.m3u8$鹤岗
